ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2019_BoTC_15648_1,Procurement and Distribution of 2/40s Coloured Cotton Yarn,170000000.0,2350.0,Open Tender,2019-2020,-0.9999861764705882
ocds-f5kvwu-2019_BoTC_15649_1,Procurement and Distribution of Blankets,80000000.0,1370.0,Open Tender,2019-2020,-0.999982875
ocds-f5kvwu-2019_DAASC_11954_1,"Construction of Soil Testing Laboratory at Lakhimpur District, Assam.",15795747.0,15005960.0,Open Tender,2018-2019,-0.049999977842136875
ocds-f5kvwu-2019_PNRD_14553_3,ReTender_Construction of 2 New G.P. Buildings at Bongaigaon District under SoPD 2018-19,7500000.0,7500000.0,Open Tender,2020-2021,0.0
ocds-f5kvwu-2019_PNRD_14554_1,Construction of 2 New G.P. Buildings at Dhemaji District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14555_1,Construction of 2 New G.P. Buildings at Goalpara District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14562_1,Construction of 2 New G.P. Buildings at Dhubri District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14564_3,ReTender_Construction of 2 New G.P. Buildings at Golaghat District under SoPD 2018-19,7500000.0,7500000.0,Open Tender,2020-2021,0.0
ocds-f5kvwu-2019_PNRD_14566_4,ReTender_Construction of 5 New G.P. Buildings at Kamrup District under SoPD 2018-19,18750000.0,18750000.0,Open Tender,2020-2021,0.0
ocds-f5kvwu-2019_PNRD_14571_3,Construction of 2 New G.P. Buildings at Sivasagar District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14575_3,Construction of 2 New G.P. Buildings at Biswanath District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14576_2,Construction of 2 New G.P. Buildings at Hojai District under SoPD 2018-19,7500000.0,7125000.0,Open Tender,2019-2020,-0.05
ocds-f5kvwu-2019_PNRD_14577_2,Construction of 2 New G.P. Buildings at South Salmara District under SoPD 2018-19,7500000.0,7275750.0,Open Tender,2019-2020,-0.0299
