tender_mainProcurementCategory,n_tenders,total_value_inr,median_value_inr,n_distinct_buyers,total_value_cr,median_value_cr
Item Rate,10385,592331539167.0,11812520.0,80,59233.2,1.18
Works,4246,149143196081.0,8865058.0,62,14914.3,0.89
Supply,2090,29314978544.0,5300000.0,66,2931.5,0.53
Turn-key,1976,144789442872.0,5203000.0,22,14478.9,0.52
Lump-sum,1119,62894095328.0,14991000.0,29,6289.4,1.5
Item Wise,617,10555818185.0,6266730.0,50,1055.6,0.63
Percentage,488,2560273282.0,2636000.0,15,256.0,0.26
EOI,219,11510306147.0,3333000.0,49,1151.0,0.33
Buy,151,1526558863.0,10000000.0,8,152.7,1.0
Empanelment,95,538001000.0,0.0,16,53.8,0.0
Fixed-rate,19,1118786149.0,5949452.0,4,111.9,0.59
QCBS,9,8566000.0,0.0,4,0.9,0.0
Tender cum Auction,6,0.0,,2,0.0,
Piece-work,2,0.0,0.0,2,0.0,0.0
Multi-stage,1,0.0,,1,0.0,
PPP-BoT-Annuity,1,37400000.0,37400000.0,1,3.7,3.74
