buyer_id,sector_id,buyer_name,sector_name,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
1,5,ASSAM CANCER CARE FOUNDATION,health,,-0.21623194,1.26125602,2.0,0.11764705882352941,2.0,17.0,5.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,11.0,0.9607217707662911,94313401.4,7.0,90608938.0,,100.0,46.15384615384615,38.88888888888889,70.0,63.76068376068376,,
1,9,ASSAM CANCER CARE FOUNDATION,vehicles,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1561032.0,3.0,1561032.0,,,48.275862068965516,44.73684210526316,65.38461538461539,52.79910651961469,,
2,1,Animal Husbandry and Veterinary Department,roads,,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,46.875,35.0,,40.9375,,
2,3,Animal Husbandry and Veterinary Department,buildings,-0.22906886642089924,-0.28582319864053213,-0.18653325608342988,6.0,0.08333333333333333,1.0,12.0,2.0,0.0,0.0,14.0,0.07142857142857142,0.0,0.0,0.023809523809523808,14.0,0.8006377995390348,37855220.21,4.0,30308320.21,10.0,76.0,46.73913043478261,90.0,39.285714285714285,52.40496894409938,45.33747412008282,56.33747412008282
2,4,Animal Husbandry and Veterinary Department,schools,,-0.17294241708599553,-0.17294241708599553,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4862631.3,1.0,4862631.3,,,45.714285714285715,42.42424242424242,73.21428571428571,53.78427128427128,,
2,6,Animal Husbandry and Veterinary Department,water_sanitation,,-0.2566776901551768,-0.2566776901551768,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2922000.0,1.0,2922000.0,,,44.11764705882353,37.93103448275862,76.08695652173914,52.71187935444042,,
2,7,Animal Husbandry and Veterinary Department,electricity_power,,,,,,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,44.827586206896555,,,44.827586206896555,,
2,9,Animal Husbandry and Veterinary Department,vehicles,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,351247999.0,1.0,351247999.0,,,48.275862068965516,,65.38461538461539,56.830238726790455,,
2,10,Animal Husbandry and Veterinary Department,other,-0.1879368140017799,-0.29837616635352604,-0.11697375927024621,34.0,0.06481481481481481,7.0,108.0,13.0,0.00819672131147541,1.0,122.0,0.039603960396039604,0.0,0.0,0.013201320132013201,101.0,0.38760757728410317,340478862.99,52.0,131972187.2,20.0,53.65853658536586,81.48148148148148,61.111111111111114,16.27906976744186,46.50603978908006,42.08836649090005,47.698122588461025
3,10,Animal Husbandry and Veterinary Department-Externally Aided Project,other,,,,,0.125,2.0,16.0,0.0,0.0,0.0,16.0,,,,,,0.8167242600863958,22797621.78,6.0,18619370.78,,70.73170731707317,39.81481481481482,,39.53488372093023,50.02713528427274,,
