buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
1,5,ASSAM CANCER CARE FOUNDATION,health,False,,-0.21623194,1.26125602,2.0,0.11764705882352941,2.0,17.0,5.0,,0.0,22.0,0.0,0.0,0.0,0.0,11.0,0.960773948761067,94308279.4,6.0,90608938.0,,100.0,,38.88888888888889,100.0,79.62962962962963,,
1,9,ASSAM CANCER CARE FOUNDATION,vehicles,False,,,,,,0.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,1561032.0,3.0,1561032.0,,,,47.22222222222222,,,,
2,1,Animal Husbandry and Veterinary Department,roads,False,,,,,,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,36.206896551724135,,,,
2,3,Animal Husbandry and Veterinary Department,buildings,False,-0.22906886642089924,-0.28582319864053213,-0.18653325608342988,6.0,0.08333333333333333,1.0,12.0,2.0,,0.0,14.0,0.07142857142857142,0.0,0.0,0.023809523809523808,14.0,,37855220.21,4.0,30308320.21,10.0,79.16666666666666,,89.47368421052632,,,,
2,4,Animal Husbandry and Veterinary Department,schools,False,,-0.17294241708599553,-0.17294241708599553,1.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4862631.3,1.0,4862631.3,,,,42.42424242424242,,,,
2,6,Animal Husbandry and Veterinary Department,water_sanitation,False,,-0.2566776901551768,-0.2566776901551768,1.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,2922000.0,1.0,2922000.0,,,,37.03703703703704,,,,
2,7,Animal Husbandry and Veterinary Department,electricity_power,False,,,,,,0.0,0.0,2.0,,0.0,2.0,,,,,,,,,,,,,,,,,
2,9,Animal Husbandry and Veterinary Department,vehicles,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,351247999.0,1.0,351247999.0,,,,,,,,
2,10,Animal Husbandry and Veterinary Department,other,False,-0.1879368140017799,-0.29837616635352604,-0.11697375927024621,34.0,0.06481481481481481,7.0,108.0,13.0,,1.0,122.0,0.039603960396039604,0.0,0.0,0.013201320132013201,101.0,0.38760757728410317,340478862.99,52.0,131972187.2,20.0,57.89473684210527,,60.0,36.84210526315789,43.68421052631579,,
4,1,Assam Agricultural University,roads,False,,-0.09999990259243734,-0.09999990259243734,1.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,2771859.0,1.0,2771859.0,,,,36.206896551724135,,,,
