buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
3,10,Animal Husbandry and Veterinary Department-Externally Aided Project,other,True,,,,,0.125,2.0,16.0,0.0,,0.0,16.0,,,,,,0.8167242600863958,22797621.78,6.0,18619370.78,,33.33333333333333,,,100.0,,,
6,7,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,electricity_power,True,,,,,,0.0,3.0,3.0,,1.0,6.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,75.0,,,,
11,7,Assam Power Distribution Company Limited- Externally Aided Project,electricity_power,True,-0.1623463034403158,-0.4745984642940942,-0.1374847745322286,6.0,0.0,0.0,24.0,5.0,,0.0,29.0,0.0,0.0,0.0,0.0,6.0,0.7660609615331452,4113171221.6400003,5.0,3150939901.0,100.0,50.0,,75.0,100.0,81.25,,
14,3,Assam Power Generation Company Limited APGCL - ADB,buildings,True,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,75.0,,,,
14,7,Assam Power Generation Company Limited APGCL - ADB,electricity_power,True,,,,,0.2,1.0,5.0,0.0,0.4,2.0,5.0,,,,,,,651759215.23,3.0,651759215.23,,100.0,100.0,,,,,
14,8,Assam Power Generation Company Limited APGCL - ADB,it_computing,True,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
20,4,Assam State Disaster Management Authority- Externally Aided Project,schools,True,,,,,,0.0,2.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,
42,6,Department of Water Resources-Externally Aided Project,water_sanitation,True,,,,,,0.0,3.0,0.0,,0.0,3.0,,,,,,,,,,,,,,,,,
53,3,Finance Department - World Bank Tenders,buildings,True,,,,,,0.0,1.0,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,
53,8,Finance Department - World Bank Tenders,it_computing,True,,,,,0.4,2.0,5.0,1.0,,0.0,6.0,,,,,,,84499661.25999999,2.0,84499661.25999999,,100.0,,,,,,
53,10,Finance Department - World Bank Tenders,other,True,,0.0502,0.0502,1.0,0.16666666666666666,4.0,24.0,4.0,0.2647058823529412,9.0,34.0,0.0,0.0,0.0,0.0,1.0,0.6979334024304401,193821873.16,11.0,135274759.4,,66.66666666666666,100.0,100.0,50.0,79.16666666666666,,
72,5,Medical Education and Research Department- Externally Aided Project,health,True,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
72,10,Medical Education and Research Department- Externally Aided Project,other,True,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
85,1,Public Works Roads Department-Externally Aided Project,roads,True,-0.14819569248324063,-0.20734861926360726,-0.07000321115647506,37.0,0.06493506493506493,10.0,154.0,9.0,,1.0,163.0,0.00625,0.0125,0.0,0.006250000000000001,160.0,0.8859208115847378,16646519466.699999,26.0,14747498036.0,100.0,100.0,,100.0,100.0,100.0,,
85,2,Public Works Roads Department-Externally Aided Project,bridges,True,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
85,3,Public Works Roads Department-Externally Aided Project,buildings,True,,,,,0.10526315789473684,2.0,19.0,0.0,,0.0,19.0,0.0,0.0,0.0,0.0,19.0,,,,,,100.0,,75.0,,,,
85,6,Public Works Roads Department-Externally Aided Project,water_sanitation,True,,,,,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,75.0,,,,
97,9,Transport Department- Externally Funded Projects,vehicles,True,,1.4954737477368738,1.4954737477368738,1.0,0.16666666666666666,1.0,6.0,6.0,,0.0,12.0,0.16666666666666666,0.0,0.0,0.05555555555555555,6.0,,2894500000.0,1.0,2894500000.0,,100.0,,100.0,,,,
98,6,Urban Affairs Department Externally Aided Project,water_sanitation,True,,,,,,0.0,4.0,0.0,,1.0,4.0,,,,,,,,,,,,,,,,,
98,10,Urban Affairs Department Externally Aided Project,other,True,,,,,0.4,2.0,5.0,0.0,,0.0,5.0,,,,,,,863444769.0,2.0,863444769.0,,100.0,,,,,,
100,2,Water Resources Department- World Bank Tenders,bridges,True,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
100,6,Water Resources Department- World Bank Tenders,water_sanitation,True,,,,,,0.0,3.0,11.0,,0.0,14.0,0.0,0.0,0.0,0.0,5.0,,5949999.96,1.0,5949999.96,,,,75.0,,,,
100,8,Water Resources Department- World Bank Tenders,it_computing,True,,,,,,0.0,0.0,3.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,100.0,,,,
