ocid,district_name,matched_via,title_district_mismatch,title_district_name
ocds-f5kvwu-2019_AHVD_15610_2,Kamrup Metropolitan,state_hq,True,Dhemaji
ocds-f5kvwu-2019_DoWR_13248_2,Kamrup Metropolitan,address,True,Bongaigaon
ocds-f5kvwu-2019_PNRD_14553_3,Kamrup Metropolitan,address,True,Bongaigaon
ocds-f5kvwu-2019_PNRD_14564_3,Kamrup Metropolitan,address,True,Golaghat
ocds-f5kvwu-2019_PNRD_14566_4,Kamrup Metropolitan,address,True,Kamrup
ocds-f5kvwu-2019_PNRD_14587_4,Kamrup Metropolitan,address,True,Tinsukia
ocds-f5kvwu-2020_AEGCL_18512_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGCL_19097_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGCL_19097_2,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGCL_19314_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGCL_19404_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGCL_19845_2,Kamrup Metropolitan,address,True,Cachar
ocds-f5kvwu-2020_AEGCL_19853_1,Kamrup Metropolitan,address,True,Nagaon
ocds-f5kvwu-2020_AEGEF_17340_2,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AEGEF_17340_3,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AHVDE_18173_2,Unclassified,unclassified,False,
ocds-f5kvwu-2020_AHVDE_18612_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AHVD_17840_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_AHVD_18075_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_AHVD_18132_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_AHVD_18414_1,Kamrup Metropolitan,state_hq,False,
ocds-f5kvwu-2020_AHVD_19627_1,Kamrup Metropolitan,state_hq,False,
ocds-f5kvwu-2020_AHVD_19674_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_AIWTD_18556_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_AIWTD_19323_1,Kamrup Metropolitan,address,False,
ocds-f5kvwu-2020_APDCL_18176_1,Kamrup Metropolitan,address,True,Tinsukia
ocds-f5kvwu-2020_APDCL_19293_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_APDCL_19294_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_APDCL_19296_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_APDCL_19297_1,Unclassified,unclassified,False,
ocds-f5kvwu-2020_APDCL_19299_1,Unclassified,unclassified,False,
