ocid,sector_name,classification_method
ocds-f5kvwu-2019_AHVD_15610_2,other,default_other
ocds-f5kvwu-2019_DoWR_13248_2,water_sanitation,keyword
ocds-f5kvwu-2019_PNRD_14553_3,other,default_other
ocds-f5kvwu-2019_PNRD_14564_3,other,default_other
ocds-f5kvwu-2019_PNRD_14566_4,other,default_other
ocds-f5kvwu-2019_PNRD_14587_4,buildings,keyword
ocds-f5kvwu-2020_AEGCL_18512_1,electricity_power,hybrid
ocds-f5kvwu-2020_AEGCL_19097_1,electricity_power,keyword
ocds-f5kvwu-2020_AEGCL_19097_2,electricity_power,keyword
ocds-f5kvwu-2020_AEGCL_19314_1,electricity_power,buyer
ocds-f5kvwu-2020_AEGCL_19404_1,electricity_power,hybrid
ocds-f5kvwu-2020_AEGCL_19845_2,electricity_power,keyword
ocds-f5kvwu-2020_AEGCL_19853_1,electricity_power,keyword
ocds-f5kvwu-2020_AEGEF_17340_2,electricity_power,buyer
ocds-f5kvwu-2020_AEGEF_17340_3,electricity_power,buyer
ocds-f5kvwu-2020_AHVDE_18173_2,other,default_other
ocds-f5kvwu-2020_AHVDE_18612_1,other,default_other
ocds-f5kvwu-2020_AHVD_17840_1,other,default_other
ocds-f5kvwu-2020_AHVD_18075_1,other,default_other
ocds-f5kvwu-2020_AHVD_18132_1,other,default_other
ocds-f5kvwu-2020_AHVD_18414_1,other,default_other
ocds-f5kvwu-2020_AHVD_19627_1,other,default_other
ocds-f5kvwu-2020_AHVD_19674_1,other,default_other
ocds-f5kvwu-2020_AIWTD_18556_1,vehicles,keyword
ocds-f5kvwu-2020_AIWTD_19323_1,vehicles,buyer
ocds-f5kvwu-2020_APDCL_18176_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19293_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19294_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19296_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19297_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19299_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19300_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19301_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19302_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19303_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19304_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19305_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19306_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19307_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19308_1,electricity_power,keyword
ocds-f5kvwu-2020_APDCL_19498_1,electricity_power,keyword
ocds-f5kvwu-2020_APDEA_17518_1,electricity_power,buyer
ocds-f5kvwu-2020_APDEA_17781_1,electricity_power,keyword
ocds-f5kvwu-2020_APDEA_17783_1,electricity_power,keyword
ocds-f5kvwu-2020_APDEA_17784_1,electricity_power,keyword
ocds-f5kvwu-2020_APDEA_17786_1,electricity_power,keyword
ocds-f5kvwu-2020_APGC_17963_1,buildings,keyword
ocds-f5kvwu-2020_APGC_19838_1,electricity_power,keyword
